"Country or Area";"Year";"Item";"Value"
"Bermuda";"2020";"Gross Domestic Product (GDP)";"123944.906901313"
"Bermuda";"2019";"Gross Domestic Product (GDP)";"119734.313505903"
"Bhutan";"2020";"Gross Domestic Product (GDP)";"3217.96293453278"
"Bhutan";"2019";"Gross Domestic Product (GDP)";"3316.19123614893"
"Bolivia (Plurinational State of)";"2020";"Gross Domestic Product (GDP)";"3133.10195045546"
"Bolivia (Plurinational State of)";"2019";"Gross Domestic Product (GDP)";"3552.06876026869"
"Bosnia and Herzegovina";"2020";"Gross Domestic Product (GDP)";"6035.47556857475"
"Bosnia and Herzegovina";"2019";"Gross Domestic Product (GDP)";"6120.15635087791"
"Botswana";"2020";"Gross Domestic Product (GDP)";"6710.96014700365"
"Botswana";"2019";"Gross Domestic Product (GDP)";"7970.84217321343"
"Brazil";"2020";"Gross Domestic Product (GDP)";"6796.84405807973"
"Brazil";"2019";"Gross Domestic Product (GDP)";"8936.36010137898"
"British Virgin Islands";"2020";"Gross Domestic Product (GDP)";"49357.193079951"
"British Virgin Islands";"2019";"Gross Domestic Product (GDP)";"47913.5161838162"
"Brunei Darussalam";"2020";"Gross Domestic Product (GDP)";"27436.7415145183"
"Brunei Darussalam";"2019";"Gross Domestic Product (GDP)";"31086.329196003"
"Bulgaria";"2020";"Gross Domestic Product (GDP)";"10058.0774071682"
"Bulgaria";"2019";"Gross Domestic Product (GDP)";"9844.65466994696"
"Burkina Faso";"2020";"Gross Domestic Product (GDP)";"830.925336867403"
"Burkina Faso";"2019";"Gross Domestic Product (GDP)";"786.895613589555"
"Burundi";"2020";"Gross Domestic Product (GDP)";"285.875781832036"
"Burundi";"2019";"Gross Domestic Product (GDP)";"292.139142313678"
"Cabo Verde";"2020";"Gross Domestic Product (GDP)";"3064.27654591858"
"Cabo Verde";"2019";"Gross Domestic Product (GDP)";"3603.78257648474"
"Cambodia";"2020";"Gross Domestic Product (GDP)";"1512.72828849953"
"Cambodia";"2019";"Gross Domestic Product (GDP)";"1643.64145131163"
"Cameroon";"2020";"Gross Domestic Product (GDP)";"1502.32806246598"
"Cameroon";"2019";"Gross Domestic Product (GDP)";"1507.45017200201"
"Canada";"2020";"Gross Domestic Product (GDP)";"43559.7100918314"
"Canada";"2019";"Gross Domestic Product (GDP)";"46550.3355073651"
"Cayman Islands";"2020";"Gross Domestic Product (GDP)";"95190.9325059168"
"Cayman Islands";"2019";"Gross Domestic Product (GDP)";"91389.3524392229"
"Central African Republic";"2020";"Gross Domestic Product (GDP)";"481.016461953413"
"Central African Republic";"2019";"Gross Domestic Product (GDP)";"467.673135580228"
"Chad";"2020";"Gross Domestic Product (GDP)";"679.067283844749"
"Chad";"2019";"Gross Domestic Product (GDP)";"706.825832843972"
"Chile";"2020";"Gross Domestic Product (GDP)";"13231.709642446"
"Chile";"2019";"Gross Domestic Product (GDP)";"14741.7115972862"
"China (mainland)";"2020";"Gross Domestic Product (GDP)";"10228.9705580833"
"China (mainland)";"2019";"Gross Domestic Product (GDP)";"9959.63735462553"
"China, Hong Kong SAR";"2020";"Gross Domestic Product (GDP)";"46611.3910399946"
"China, Hong Kong SAR";"2019";"Gross Domestic Product (GDP)";"49179.7510667519"
"China, Macao Special Administrative Region";"2020";"Gross Domestic Product (GDP)";"37473.7532621561"
"China, Macao Special Administrative Region";"2019";"Gross Domestic Product (GDP)";"86118.1064589778"
"Colombia";"2020";"Gross Domestic Product (GDP)";"5332.77279049289"
"Colombia";"2019";"Gross Domestic Product (GDP)";"6424.97943131278"
"Comoros";"2020";"Gross Domestic Product (GDP)";"1420.65190502353"
"Comoros";"2019";"Gross Domestic Product (GDP)";"1401.550514844"
"Congo";"2020";"Gross Domestic Product (GDP)";"1830.38249097654"
"Congo";"2019";"Gross Domestic Product (GDP)";"2327.85480602885"
"Cook Islands";"2020";"Gross Domestic Product (GDP)";"16134.9779483292"
"Cook Islands";"2019";"Gross Domestic Product (GDP)";"20332.5517561122"
"Costa Rica";"2020";"Gross Domestic Product (GDP)";"12076.8059608058"
"Costa Rica";"2019";"Gross Domestic Product (GDP)";"12669.7061753034"
"Côte d'Ivoire";"2020";"Gross Domestic Product (GDP)";"2317.92571866178"
"Côte d'Ivoire";"2019";"Gross Domestic Product (GDP)";"2276.34032918416"
"Croatia";"2020";"Gross Domestic Product (GDP)";"13934.2419553929"
"Croatia";"2019";"Gross Domestic Product (GDP)";"15070.6108765899"
"Cuba";"2020";"Gross Domestic Product (GDP)";"9477.85287326771"
"Cuba";"2019";"Gross Domestic Product (GDP)";"9125.87948470916"
"Curaçao";"2020";"Gross Domestic Product (GDP)";"15819.2105022064"
"Curaçao";"2019";"Gross Domestic Product (GDP)";"18980.1236910014"
"Cyprus";"2020";"Gross Domestic Product (GDP)";"28133.0711589119"
"Cyprus";"2019";"Gross Domestic Product (GDP)";"29659.3492456919"
"Czechia";"2020";"Gross Domestic Product (GDP)";"22910.628937362"
"Czechia";"2019";"Gross Domestic Product (GDP)";"23621.7696040149"
"Democratic People's Republic of Korea";"2020";"Gross Domestic Product (GDP)";"617.887235468459"
"Democratic People's Republic of Korea";"2019";"Gross Domestic Product (GDP)";"639.556389910187"
"Democratic Republic of the Congo";"2020";"Gross Domestic Product (GDP)";"505.883923589688"
"Democratic Republic of the Congo";"2019";"Gross Domestic Product (GDP)";"545.216282228054"
"Denmark";"2020";"Gross Domestic Product (GDP)";"61476.5969290503"
"Denmark";"2019";"Gross Domestic Product (GDP)";"60216.35759517"
"Djibouti";"2020";"Gross Domestic Product (GDP)";"3465.03871349282"
"Djibouti";"2019";"Gross Domestic Product (GDP)";"3252.32040854545"
"Dominica";"2020";"Gross Domestic Product (GDP)";"7037.6853112385"
"Dominica";"2019";"Gross Domestic Product (GDP)";"8516.28003895161"
"Dominican Republic";"2020";"Gross Domestic Product (GDP)";"7268.18860336878"
"Dominican Republic";"2019";"Gross Domestic Product (GDP)";"8282.12308689232"
"Ecuador";"2020";"Gross Domestic Product (GDP)";"5600.39151951811"
"Ecuador";"2019";"Gross Domestic Product (GDP)";"6222.52286248"
"Egypt";"2020";"Gross Domestic Product (GDP)";"3608.8422559128"
"Egypt";"2019";"Gross Domestic Product (GDP)";"3161.32468433375"
"El Salvador";"2020";"Gross Domestic Product (GDP)";"3798.63470103088"
"El Salvador";"2019";"Gross Domestic Product (GDP)";"4167.72915865106"
"Equatorial Guinea";"2020";"Gross Domestic Product (GDP)";"7143.23810177987"
"Equatorial Guinea";"2019";"Gross Domestic Product (GDP)";"8419.90820200349"
"Eritrea";"2020";"Gross Domestic Product (GDP)";"587.614195752495"
"Eritrea";"2019";"Gross Domestic Product (GDP)";"566.711679389871"
"Estonia";"2020";"Gross Domestic Product (GDP)";"23105.5233911819"
"Estonia";"2019";"Gross Domestic Product (GDP)";"23419.1819800506"
"Ethiopia";"2020";"Gross Domestic Product (GDP)";"840.361930061963"
"Ethiopia";"2019";"Gross Domestic Product (GDP)";"825.865014941968"
"Fiji";"2020";"Gross Domestic Product (GDP)";"5013.23098335222"
"Fiji";"2019";"Gross Domestic Product (GDP)";"6175.89291691717"
"Finland";"2020";"Gross Domestic Product (GDP)";"48685.2453931033"
"Finland";"2019";"Gross Domestic Product (GDP)";"48585.4830160957"
"France";"2020";"Gross Domestic Product (GDP)";"38958.6034185801"
"France";"2019";"Gross Domestic Product (GDP)";"40516.9966148641"
"French Polynesia";"2020";"Gross Domestic Product (GDP)";"20707.4527737439"
"French Polynesia";"2019";"Gross Domestic Product (GDP)";"22078.0721324248"
"Gabon";"2020";"Gross Domestic Product (GDP)";"6789.39263219054"
"Gabon";"2019";"Gross Domestic Product (GDP)";"7766.99280449473"
"Gambia";"2020";"Gross Domestic Product (GDP)";"757.412441096855"
"Gambia";"2019";"Gross Domestic Product (GDP)";"769.198871556743"
"Georgia";"2020";"Gross Domestic Product (GDP)";"3983.68975637212"
"Georgia";"2019";"Gross Domestic Product (GDP)";"4372.78060372028"
"Germany";"2020";"Gross Domestic Product (GDP)";"45908.7247130686"
"Germany";"2019";"Gross Domestic Product (GDP)";"46557.2840685089"
"Ghana";"2020";"Gross Domestic Product (GDP)";"2205.52608626793"
"Ghana";"2019";"Gross Domestic Product (GDP)";"2247.14974813546"
"Greece";"2020";"Gross Domestic Product (GDP)";"18117.070258478"
"Greece";"2019";"Gross Domestic Product (GDP)";"19587.0572706062"
"Greenland";"2020";"Gross Domestic Product (GDP)";"55138.5698779367"
"Greenland";"2019";"Gross Domestic Product (GDP)";"52622.5726053252"
"Grenada";"2020";"Gross Domestic Product (GDP)";"9272.8837561111"
"Grenada";"2019";"Gross Domestic Product (GDP)";"10834.4008642626"
"Guatemala";"2020";"Gross Domestic Product (GDP)";"4331.6869582017"
"Guatemala";"2019";"Gross Domestic Product (GDP)";"4380.74991064359"
"Guinea";"2020";"Gross Domestic Product (GDP)";"1179.48889016162"
"Guinea";"2019";"Gross Domestic Product (GDP)";"1058.1433723314"
"Guinea-Bissau";"2020";"Gross Domestic Product (GDP)";"668.190170586211"
"Guinea-Bissau";"2019";"Gross Domestic Product (GDP)";"688.351615288899"
"Guyana";"2020";"Gross Domestic Product (GDP)";"6956.01941538948"
"Guyana";"2019";"Gross Domestic Product (GDP)";"6609.5934008498"
"Haiti";"2020";"Gross Domestic Product (GDP)";"1359.80253637103"
"Haiti";"2019";"Gross Domestic Product (GDP)";"1243.60385596244"
"Honduras";"2020";"Gross Domestic Product (GDP)";"2405.73499733933"
"Honduras";"2019";"Gross Domestic Product (GDP)";"2574.35213518041"
"Hungary";"2020";"Gross Domestic Product (GDP)";"16128.6516647777"
"Hungary";"2019";"Gross Domestic Product (GDP)";"16885.0708870464"
"Iceland";"2020";"Gross Domestic Product (GDP)";"63644.018266178"
"Iceland";"2019";"Gross Domestic Product (GDP)";"73319.9632040731"
"India";"2020";"Gross Domestic Product (GDP)";"1930.97121792722"
"India";"2019";"Gross Domestic Product (GDP)";"2114.98213436828"
"Indonesia";"2020";"Gross Domestic Product (GDP)";"3869.58852046848"
"Indonesia";"2019";"Gross Domestic Product (GDP)";"4135.2015275789"
"Iran, Islamic Republic of";"2020";"Gross Domestic Product (GDP)";"11183.2748769679"
"Iran, Islamic Republic of";"2019";"Gross Domestic Product (GDP)";"7882.78891216738"
"Iraq";"2020";"Gross Domestic Product (GDP)";"4145.86396710848"
"Iraq";"2019";"Gross Domestic Product (GDP)";"5980.62848939734"
"Ireland";"2020";"Gross Domestic Product (GDP)";"86250.9941527383"
"Ireland";"2019";"Gross Domestic Product (GDP)";"81745.5140553019"
"Israel";"2020";"Gross Domestic Product (GDP)";"47033.5865472019"
"Israel";"2019";"Gross Domestic Product (GDP)";"46709.3548842328"
"Italy";"2020";"Gross Domestic Product (GDP)";"31238.0483461991"
"Italy";"2019";"Gross Domestic Product (GDP)";"33185.4893211519"
"Jamaica";"2020";"Gross Domestic Product (GDP)";"4664.51971786885"
"Jamaica";"2019";"Gross Domestic Product (GDP)";"5369.49283016239"
"Japan";"2020";"Gross Domestic Product (GDP)";"39989.7255087383"
"Japan";"2019";"Gross Domestic Product (GDP)";"40586.2346840733"
"Jordan";"2020";"Gross Domestic Product (GDP)";"4282.72167145816"
"Jordan";"2019";"Gross Domestic Product (GDP)";"4405.48059577022"
"Kazakhstan";"2020";"Gross Domestic Product (GDP)";"9111.41050061829"
"Kazakhstan";"2019";"Gross Domestic Product (GDP)";"9792.62219586664"
"Kenya";"2020";"Gross Domestic Product (GDP)";"1878.58119241031"
"Kenya";"2019";"Gross Domestic Product (GDP)";"1912.6232997657"
"Kingdom of Eswatini";"2020";"Gross Domestic Product (GDP)";"3305.77427113107"
"Kingdom of Eswatini";"2019";"Gross Domestic Product (GDP)";"3894.19761883004"
"Kiribati";"2020";"Gross Domestic Product (GDP)";"1514.56946404026"
"Kiribati";"2019";"Gross Domestic Product (GDP)";"1512.97224228765"
"Kosovo";"2020";"Gross Domestic Product (GDP)";"4368.14312943083"
"Kosovo";"2019";"Gross Domestic Product (GDP)";"4443.43455303387"
"Kuwait";"2020";"Gross Domestic Product (GDP)";"24809.0396285701"
"Kuwait";"2019";"Gross Domestic Product (GDP)";"32371.9861720596"
"Kyrgyzstan";"2020";"Gross Domestic Product (GDP)";"1185.73019277986"
"Kyrgyzstan";"2019";"Gross Domestic Product (GDP)";"1382.67257226416"
"Lao People's Democratic Republic";"2020";"Gross Domestic Product (GDP)";"2622.75763965773"
"Lao People's Democratic Republic";"2019";"Gross Domestic Product (GDP)";"2613.94506449189"
"Latvia";"2020";"Gross Domestic Product (GDP)";"17870.5103156209"
"Latvia";"2019";"Gross Domestic Product (GDP)";"17993.3970258718"
"Lebanon";"2020";"Gross Domestic Product (GDP)";"9310.16192545214"
"Lebanon";"2019";"Gross Domestic Product (GDP)";"7811.92238073168"
"Lesotho";"2020";"Gross Domestic Product (GDP)";"1061.26571462724"
"Lesotho";"2019";"Gross Domestic Product (GDP)";"1154.53993277029"
"Liberia";"2020";"Gross Domestic Product (GDP)";"490.51912388306"
"Liberia";"2019";"Gross Domestic Product (GDP)";"522.999167776231"
"Libya";"2020";"Gross Domestic Product (GDP)";"4242.76717359281"
"Libya";"2019";"Gross Domestic Product (GDP)";"8827.83656504791"
"Liechtenstein";"2020";"Gross Domestic Product (GDP)";"180227.131991826"
"Liechtenstein";"2019";"Gross Domestic Product (GDP)";"175811.169745097"
"Lithuania";"2020";"Gross Domestic Product (GDP)";"20771.8421796845"
"Lithuania";"2019";"Gross Domestic Product (GDP)";"19820.5695977512"
"Luxembourg";"2020";"Gross Domestic Product (GDP)";"117181.646629287"
"Luxembourg";"2019";"Gross Domestic Product (GDP)";"114004.238058486"
"Madagascar";"2020";"Gross Domestic Product (GDP)";"469.766309497188"
"Madagascar";"2019";"Gross Domestic Product (GDP)";"522.989510926798"
"Malawi";"2020";"Gross Domestic Product (GDP)";"614.867604712418"
"Malawi";"2019";"Gross Domestic Product (GDP)";"598.329222000009"
"Malaysia";"2020";"Gross Domestic Product (GDP)";"10401.7931992135"
"Malaysia";"2019";"Gross Domestic Product (GDP)";"11414.2903671155"
"Maldives";"2020";"Gross Domestic Product (GDP)";"6924.0938466658"
"Maldives";"2019";"Gross Domestic Product (GDP)";"10561.6642883921"
"Mali";"2020";"Gross Domestic Product (GDP)";"855.863188075269"
"Mali";"2019";"Gross Domestic Product (GDP)";"879.12138974187"
"Malta";"2020";"Gross Domestic Product (GDP)";"33770.7901217407"
"Malta";"2019";"Gross Domestic Product (GDP)";"35710.5586275275"
"Marshall Islands";"2020";"Gross Domestic Product (GDP)";"4130.13090048995"
"Marshall Islands";"2019";"Gross Domestic Product (GDP)";"4076.15978636186"
"Mauritania";"2020";"Gross Domestic Product (GDP)";"1702.48769147385"
"Mauritania";"2019";"Gross Domestic Product (GDP)";"1743.3020877428"
"Mauritius";"2020";"Gross Domestic Product (GDP)";"8586.94267243051"
"Mauritius";"2019";"Gross Domestic Product (GDP)";"11062.5834600553"
"Mexico";"2020";"Gross Domestic Product (GDP)";"8325.57121757046"
"Mexico";"2019";"Gross Domestic Product (GDP)";"9946.01661841142"
"Micronesia (Federated States of)";"2020";"Gross Domestic Product (GDP)";"3499.86321866062"
"Micronesia (Federated States of)";"2019";"Gross Domestic Product (GDP)";"3585.2971928129"
"Monaco";"2020";"Gross Domestic Product (GDP)";"173695.77238078"
"Monaco";"2019";"Gross Domestic Product (GDP)";"189506.773411756"
"Mongolia";"2020";"Gross Domestic Product (GDP)";"4007.31127951355"
"Mongolia";"2019";"Gross Domestic Product (GDP)";"4339.84323584213"
"Montenegro";"2020";"Gross Domestic Product (GDP)";"7625.72201655034"
"Montenegro";"2019";"Gross Domestic Product (GDP)";"8825.31398848426"
"Montserrat";"2020";"Gross Domestic Product (GDP)";"13523.1184710351"
"Montserrat";"2019";"Gross Domestic Product (GDP)";"13134.822535504"
"Morocco";"2020";"Gross Domestic Product (GDP)";"3108.17537357982"
"Morocco";"2019";"Gross Domestic Product (GDP)";"3286.67186440451"
"Mozambique";"2020";"Gross Domestic Product (GDP)";"448.84389134932"
"Mozambique";"2019";"Gross Domestic Product (GDP)";"506.817255987287"
"Myanmar";"2020";"Gross Domestic Product (GDP)";"1291.74896818633"
"Myanmar";"2019";"Gross Domestic Product (GDP)";"1374.37523849301"
"Namibia";"2020";"Gross Domestic Product (GDP)";"4215.17014051901"
"Namibia";"2019";"Gross Domestic Product (GDP)";"5037.22913817152"
"Nauru";"2020";"Gross Domestic Product (GDP)";"12510.3662555289"
"Nauru";"2019";"Gross Domestic Product (GDP)";"12350.9261281719"
"Nepal";"2020";"Gross Domestic Product (GDP)";"1135.28795716863"
"Nepal";"2019";"Gross Domestic Product (GDP)";"1197.82592064857"
"Netherlands";"2020";"Gross Domestic Product (GDP)";"53333.6575721071"
"Netherlands";"2019";"Gross Domestic Product (GDP)";"53236.6746681242"
"New Caledonia";"2020";"Gross Domestic Product (GDP)";"34006.3251972146"
"New Caledonia";"2019";"Gross Domestic Product (GDP)";"33379.7630206689"
"New Zealand";"2020";"Gross Domestic Product (GDP)";"43972.1305726375"
"New Zealand";"2019";"Gross Domestic Product (GDP)";"44622.989778304"
"Nicaragua";"2020";"Gross Domestic Product (GDP)";"1905.25519722715"
"Nicaragua";"2019";"Gross Domestic Product (GDP)";"1926.697992279"
"Niger";"2020";"Gross Domestic Product (GDP)";"567.669696808278"
"Niger";"2019";"Gross Domestic Product (GDP)";"554.099699131846"
"Nigeria";"2020";"Gross Domestic Product (GDP)";"2085.47406098868"
"Nigeria";"2019";"Gross Domestic Product (GDP)";"2361.20696665297"
"Norway";"2020";"Gross Domestic Product (GDP)";"66870.7307257441"
"Norway";"2019";"Gross Domestic Product (GDP)";"75389.6227395523"
"Oman";"2020";"Gross Domestic Product (GDP)";"12408.8981398994"
"Oman";"2019";"Gross Domestic Product (GDP)";"15343.0620042751"
"Pakistan";"2020";"Gross Domestic Product (GDP)";"1167.21649573926"
"Pakistan";"2019";"Gross Domestic Product (GDP)";"1168.64309744438"
"Palau";"2020";"Gross Domestic Product (GDP)";"14566.9096385542"
"Palau";"2019";"Gross Domestic Product (GDP)";"15572.4903376277"
"Panama";"2020";"Gross Domestic Product (GDP)";"12269.0458757101"
"Panama";"2019";"Gross Domestic Product (GDP)";"15727.970386717"
"Papua New Guinea";"2020";"Gross Domestic Product (GDP)";"2639.88317473106"
"Papua New Guinea";"2019";"Gross Domestic Product (GDP)";"2829.13914403193"
"Paraguay";"2020";"Gross Domestic Product (GDP)";"4949.74413017447"
"Paraguay";"2019";"Gross Domestic Product (GDP)";"5380.96563194299"
"Peru";"2020";"Gross Domestic Product (GDP)";"6162.69825228308"
"Peru";"2019";"Gross Domestic Product (GDP)";"7027.68670456607"
"Philippines";"2020";"Gross Domestic Product (GDP)";"3298.83006215503"
"Philippines";"2019";"Gross Domestic Product (GDP)";"3485.34223692158"
"Poland";"2020";"Gross Domestic Product (GDP)";"15764.1058298611"
"Poland";"2019";"Gross Domestic Product (GDP)";"15764.5721925322"
"Portugal";"2020";"Gross Domestic Product (GDP)";"22413.0398391619"
"Portugal";"2019";"Gross Domestic Product (GDP)";"23467.8793414302"
"Puerto Rico";"2020";"Gross Domestic Product (GDP)";"36051.590207536"
"Puerto Rico";"2019";"Gross Domestic Product (GDP)";"35765.4305163141"
"Qatar";"2020";"Gross Domestic Product (GDP)";"50814.9344504966"
"Qatar";"2019";"Gross Domestic Product (GDP)";"62088.0618276876"
"Republic of Korea";"2020";"Gross Domestic Product (GDP)";"31946.9825107436"
"Republic of Korea";"2019";"Gross Domestic Product (GDP)";"32234.5074914024"
"Republic of Moldova";"2020";"Gross Domestic Product (GDP)";"2953.51088411219"
"Republic of Moldova";"2019";"Gross Domestic Product (GDP)";"2960.81284354504"
"Republic of North Macedonia";"2020";"Gross Domestic Product (GDP)";"5886.46103737576"
"Republic of North Macedonia";"2019";"Gross Domestic Product (GDP)";"6022.21841819629"
"Romania";"2020";"Gross Domestic Product (GDP)";"12928.5806563067"
"Romania";"2019";"Gross Domestic Product (GDP)";"12903.9935289112"
"Russian Federation";"2020";"Gross Domestic Product (GDP)";"10165.5059670489"
"Russian Federation";"2019";"Gross Domestic Product (GDP)";"11567.9961315492"
"Rwanda";"2020";"Gross Domestic Product (GDP)";"797.705403470109"
"Rwanda";"2019";"Gross Domestic Product (GDP)";"820.26732825837"
"Saint Kitts and Nevis";"2020";"Gross Domestic Product (GDP)";"17433.633185809"
"Saint Kitts and Nevis";"2019";"Gross Domestic Product (GDP)";"19777.5800524603"
"Saint Lucia";"2020";"Gross Domestic Product (GDP)";"8804.66420555841"
"Saint Lucia";"2019";"Gross Domestic Product (GDP)";"11591.4032091066"
"Saint Vincent and the Grenadines";"2020";"Gross Domestic Product (GDP)";"7298.37282748766"
"Saint Vincent and the Grenadines";"2019";"Gross Domestic Product (GDP)";"7457.50950382514"
"Samoa";"2020";"Gross Domestic Product (GDP)";"3889.99736172226"
"Samoa";"2019";"Gross Domestic Product (GDP)";"4298.59171824849"
"San Marino";"2020";"Gross Domestic Product (GDP)";"45832.1990481227"
"San Marino";"2019";"Gross Domestic Product (GDP)";"47732.7720090207"
"Sao Tome and Principe";"2020";"Gross Domestic Product (GDP)";"2174.0479183198"
"Sao Tome and Principe";"2019";"Gross Domestic Product (GDP)";"2002.42325741563"
"Saudi Arabia";"2020";"Gross Domestic Product (GDP)";"20110.3153185196"
"Saudi Arabia";"2019";"Gross Domestic Product (GDP)";"23139.7986569601"
"Senegal";"2020";"Gross Domestic Product (GDP)";"1457.9907269663"
"Senegal";"2019";"Gross Domestic Product (GDP)";"1430.14805131224"
"Serbia";"2020";"Gross Domestic Product (GDP)";"7655.69588486091"
"Serbia";"2019";"Gross Domestic Product (GDP)";"7364.95376738672"
"Seychelles";"2020";"Gross Domestic Product (GDP)";"10766.7866890465"
"Seychelles";"2019";"Gross Domestic Product (GDP)";"16194.8583159571"
"Sierra Leone";"2020";"Gross Domestic Product (GDP)";"474.692062219045"
"Sierra Leone";"2019";"Gross Domestic Product (GDP)";"527.533631822448"
"Singapore";"2020";"Gross Domestic Product (GDP)";"58114.2453472612"
"Singapore";"2019";"Gross Domestic Product (GDP)";"64503.1021109854"
"Sint Maarten (Dutch part)";"2020";"Gross Domestic Product (GDP)";"20000.0927189802"
"Sint Maarten (Dutch part)";"2019";"Gross Domestic Product (GDP)";"25569.4909305522"
"Slovakia";"2020";"Gross Domestic Product (GDP)";"19263.6375226744"
"Slovakia";"2019";"Gross Domestic Product (GDP)";"19293.4075181235"
"Slovenia";"2020";"Gross Domestic Product (GDP)";"25777.3967192431"
"Slovenia";"2019";"Gross Domestic Product (GDP)";"26064.403987388"
"Solomon Islands";"2020";"Gross Domestic Product (GDP)";"2250.56375686668"
"Solomon Islands";"2019";"Gross Domestic Product (GDP)";"2344.13422232702"
"Somalia";"2020";"Gross Domestic Product (GDP)";"117.858870889433"
"Somalia";"2019";"Gross Domestic Product (GDP)";"118.605673954818"
"South Africa";"2020";"Gross Domestic Product (GDP)";"5094.38403793128"
"South Africa";"2019";"Gross Domestic Product (GDP)";"6001.38957628686"
"South Sudan";"2020";"Gross Domestic Product (GDP)";"1420.71043393456"
"South Sudan";"2019";"Gross Domestic Product (GDP)";"1486.36853037699"
"Spain";"2020";"Gross Domestic Product (GDP)";"27408.6349002359"
"Spain";"2019";"Gross Domestic Product (GDP)";"29806.208565547"
"Sri Lanka";"2020";"Gross Domestic Product (GDP)";"3767.60665468822"
"Sri Lanka";"2019";"Gross Domestic Product (GDP)";"3938.84752111085"
"State of Palestine";"2020";"Gross Domestic Product (GDP)";"3050.38955865962"
"State of Palestine";"2019";"Gross Domestic Product (GDP)";"3439.48111181149"
"Sudan";"2020";"Gross Domestic Product (GDP)";"1415.24344818513"
"Sudan";"2019";"Gross Domestic Product (GDP)";"815.06010081405"
"Suriname";"2020";"Gross Domestic Product (GDP)";"7022.76722280103"
"Suriname";"2019";"Gross Domestic Product (GDP)";"6840.88516169923"
"Sweden";"2020";"Gross Domestic Product (GDP)";"53574.5526372181"
"Sweden";"2019";"Gross Domestic Product (GDP)";"53194.4368769308"
"Switzerland";"2020";"Gross Domestic Product (GDP)";"86918.6482933755"
"Switzerland";"2019";"Gross Domestic Product (GDP)";"85169.0600615526"
"Syrian Arab Republic";"2020";"Gross Domestic Product (GDP)";"889.81524691967"
"Syrian Arab Republic";"2019";"Gross Domestic Product (GDP)";"1558.08465080955"
"Tajikistan";"2020";"Gross Domestic Product (GDP)";"838.451015762254"
"Tajikistan";"2019";"Gross Domestic Product (GDP)";"890.547994825993"
"Thailand";"2020";"Gross Domestic Product (GDP)";"7189.0479887291"
